fecha,hora,producto,categoria,cantidad,precio_unitario,total,metodo_pago,vendedor
2024-07-01,09:15,Cuaderno profesional Scribe,Cuadernos,3,45.50,136.50,Efectivo,Maria
2024-07-01,10:30,Lápiz Mirado 2B,Escritura,12,8.00,96.00,Efectivo,Maria
2024-07-01,11:45,Pegamento Pritt 40g,Adhesivos,2,35.00,70.00,Tarjeta,Carlos
2024-07-01,14:20,Hojas blancas 500pz,Papel,1,89.00,89.00,Efectivo,Maria
2024-07-01,16:00,Pluma BIC azul,Escritura,6,7.50,45.00,Efectivo,Carlos
2024-07-02,09:00,Carpeta tamaño carta,Organización,4,12.00,48.00,Efectivo,Maria
2024-07-02,10:15,Marcadores Sharpie 12pz,Arte,1,185.00,185.00,Tarjeta,Carlos
2024-07-02,13:30,Calculadora científica Casio,Electrónicos,1,250.00,250.00,Transferencia,Maria
2024-07-03,08:45,Goma Pelikan,Escritura,10,5.00,50.00,Efectivo,Carlos
2024-07-03,11:00,Tijeras escolares,Corte,3,25.00,75.00,Efectivo,Maria
2024-07-03,15:30,Colores Prismacolor 24pz,Arte,1,320.00,320.00,Tarjeta,Carlos
2024-07-05,09:30,Cuaderno profesional Scribe,Cuadernos,5,45.50,227.50,Efectivo,Maria
2024-07-05,12:00,Corrector líquido,Escritura,4,18.00,72.00,Efectivo,Carlos
2024-07-06,10:00,Papel bond colores 100pz,Papel,2,65.00,130.00,Tarjeta,Maria
2024-07-08,09:15,Pluma BIC negra,Escritura,12,7.50,90.00,Efectivo,Carlos
2024-07-08,14:45,Folder manila,Organización,20,3.50,70.00,Efectivo,Maria
2024-07-10,11:30,Marcatextos 6pz,Escritura,2,45.00,90.00,Efectivo,Carlos
2024-07-12,10:00,Cuaderno espiral chico,Cuadernos,8,28.00,224.00,Tarjeta,Maria
2024-07-15,09:00,Lápiz Mirado 2B,Escritura,24,8.00,192.00,Efectivo,Carlos
2024-07-15,13:20,Resistol 850 250ml,Adhesivos,1,42.00,42.00,Efectivo,Maria
2024-07-18,15:00,Hojas blancas 500pz,Papel,3,89.00,267.00,Tarjeta,Carlos
2024-07-20,11:15,Sacapuntas metal,Escritura,5,12.00,60.00,Efectivo,Maria
2024-07-22,09:45,Pluma gel colores 10pz,Escritura,2,85.00,170.00,Tarjeta,Carlos
2024-07-25,10:30,Cuaderno profesional Scribe,Cuadernos,4,45.50,182.00,Efectivo,Maria
2024-07-28,14:00,Regla 30cm,Medición,6,15.00,90.00,Efectivo,Carlos
2024-07-30,16:30,Post-it 3x3,Organización,3,28.00,84.00,Efectivo,Maria
2024-08-01,08:30,Mochila escolar básica,Mochilas,1,350.00,350.00,Tarjeta,Carlos
2024-08-01,09:00,Cuaderno profesional Scribe,Cuadernos,10,45.50,455.00,Efectivo,Maria
